data,grupo_muscular,exercicio,tipo,peso_kg,serie,repeticoes
2025-10-22,Pernas,Extensora,Maquina,50,1,8
2025-10-22,Pernas,Extensora,Maquina,50,2,8
2025-10-22,Pernas,Flexora,Maquina,30,1,12
2025-10-22,Pernas,Flexora,Maquina,30,2,12
2025-10-22,Pernas,Abdutora,Maquina,70,1,12
2025-10-22,Pernas,Abdutora,Maquina,70,2,12
2025-10-22,Pernas,Adutora,Maquina,70,1,10
2025-10-22,Pernas,Adutora,Maquina,70,2,10
2025-10-22,Abdomen,Abdominal,Maquina,18,1,12
2025-10-22,Abdomen,Abdominal,Maquina,22,2,8
2025-10-23,Peito,Supino inclinado,Maquina com anilha,30,1,12
2025-10-23,Peito,Supino inclinado,Maquina com anilha,35,2,7
2025-10-23,Costas,Puxada alta,Maquina,45,1,11
2025-10-23,Costas,Puxada alta,Maquina,45,2,7
2025-10-23,Costas,Serrote,Maquina,40,1,10
2025-10-23,Peito,Supino reto,Halter,24,1,10
2025-10-23,Peito,Supino reto,Halter,26,2,6
2025-10-23,Peito,Crucifixo,Maquina com anilha,35,1,7
2025-10-23,Peito,Crucifixo,Maquina com anilha,35,2,6
2025-10-23,Triceps,Triceps,Cabo,20,1,10
2025-10-23,Triceps,Triceps,Cabo,22,2,10
2025-10-23,Triceps,Triceps unilateral,Cabo,5,1,12
2025-10-23,Triceps,Triceps unilateral,Cabo,7.5,2,6
2025-10-23,Biceps,Biceps zottman,Halter,10,1,10
2025-10-23,Biceps,Biceps zottman,Halter,10,2,6
2025-10-23,Biceps,Biceps,Maquina,10,1,10
2025-10-23,Biceps,Biceps,Maquina,12.5,2,7
2025-10-24,Pernas,Extensora,Maquina,50,1,10
2025-10-24,Pernas,Extensora,Maquina,50,2,10
2025-10-24,Pernas,Flexora,Maquina,30,1,12
2025-10-24,Pernas,Flexora,Maquina,35,2,6
2025-10-24,Pernas,Adutora,Maquina,60,1,10
2025-10-24,Pernas,Adutora,Maquina,60,2,7
2025-10-24,Pernas,Abdutora,Maquina,60,1,10
2025-10-24,Pernas,Abdutora,Maquina,70,2,10
2025-10-24,Abdomen,Abdominal,Maquina,20,1,10
2025-10-24,Abdomen,Abdominal,Maquina,25,2,8
2025-12-30,Peito,Supino inclinado,Maquina com anilha,20,1,10
2025-12-30,Peito,Supino inclinado,Maquina com anilha,30,2,6
2025-12-30,Peito,Supino reto,Maquina,50,1,10
2025-12-30,Peito,Supino reto,Maquina,60,2,4
2025-12-30,Peito,Supino inclinado,Maquina com anilha,20,1,10
2025-12-30,Peito,Supino inclinado,Maquina com anilha,30,2,6
2025-12-30,Peito,Supino reto,Maquina,50,1,10
2025-12-30,Peito,Supino reto,Maquina,60,2,4
2025-12-30,Peito,Crucifixo,Maquina com anilha,15,1,10
2025-12-30,Peito,Crucifixo,Maquina com anilha,15,2,10
2025-12-30,Costas,Puxada alta,Maquina,40,1,10
2025-12-30,Costas,Puxada alta,Maquina,40,2,4
2025-12-30,Costas,Puxada baixa,Maquina,25,1,10
2025-12-30,Costas,Puxada baixa,Maquina,30,2,8
2026-01-05,Peito,Supino reto,Maquina,50,1,10
2026-01-05,Peito,Supino reto,Maquina,60,2,5
2026-01-05,Peito,Supino inclinado,Halter,20,1,6
2026-01-05,Peito,Supino inclinado,Halter,20,2,6
2026-01-05,Peito,Crucifixo,Maquina com anilha,15,1,7
2026-01-05,Peito,Crucifixo,Maquina com anilha,15,2,14
2026-01-05,Peito,Crucifixo,Maquina com anilha,15,3,10
2026-01-05,Peito,Crucifixo,Maquina com anilha,15,4,14
2026-01-05,Peito,Crucifixo,Maquina com anilha,15,5,6
2026-01-05,Costas,Puxada baixa,Maquina,25,1,10
2026-01-05,Costas,Puxada baixa,Maquina,30,2,6
2026-01-05,Peito,Supino reto,Maquina,50,1,10
2026-01-05,Peito,Supino reto,Maquina,60,2,5
2026-01-05,Peito,Supino inclinado,Halter,20,1,6
2026-01-05,Peito,Supino inclinado,Halter,20,2,6
2026-01-05,Peito,Crucifixo,Maquina com anilha,15,1,7
2026-01-05,Peito,Crucifixo,Maquina com anilha,15,2,14
2026-01-05,Peito,Crucifixo,Maquina com anilha,15,3,10
2026-01-05,Peito,Crucifixo,Maquina com anilha,15,4,14
2026-01-05,Peito,Crucifixo,Maquina com anilha,15,5,6
2026-01-05,Costas,Puxada baixa,Maquina,25,1,10
2026-01-05,Costas,Puxada baixa,Maquina,30,2,6
2026-01-05,Costas,Puxada lateral,Maquina,15,1,8
2026-01-05,Costas,Puxada lateral,Maquina,15,2,8
2026-01-08,Pernas,Extensora,Maquina,40,1,10
2026-01-08,Pernas,Extensora,Maquina,50,2,4
2026-01-08,Pernas,Flexora,Maquina,30,1,10
2026-01-08,Pernas,Flexora,Maquina,35,2,6
2026-01-08,Pernas,Abdutora,Maquina,60,1,10
2026-01-08,Pernas,Abdutora,Maquina,70,2,7
2026-01-08,Pernas,Adutora,Maquina,50,1,10
2026-01-08,Pernas,Adutora,Maquina,60,2,6
2026-01-08,Ombro,Desenvolvimento,Maquina,30,1,7
2026-01-08,Ombro,Desenvolvimento,Maquina,30,2,10
2026-01-08,Triceps,Triceps,Cabo,20,1,7
2026-01-08,Triceps,Triceps,Cabo,20,2,10
2026-01-08,Triceps,Triceps unilateral,Cabo,5,1,7
2026-01-08,Antebraco,Antebraco dentro,Maquina,5,1,10
2026-01-08,Antebraco,Antebraco dentro,Maquina,7.5,2,10
2026-01-13,Peito,Supino reto,Maquina,50,1,10
2026-01-13,Peito,Supino reto,Maquina,60,2,6
2026-01-13,Peito,Supino inclinado,Halter,20,1,7
2026-01-13,Peito,Supino inclinado,Halter,20,2,6
2026-01-13,Peito,Crucifixo,Maquina com anilha,15,1,6
2026-01-13,Peito,Crucifixo,Maquina com anilha,15,2,5
2026-01-13,Peito,Crucifixo,Maquina com anilha,15,3,14
2026-01-13,Peito,Crucifixo,Maquina com anilha,15,4,10
2026-01-13,Peito,Crucifixo,Maquina com anilha,15,5,7
2026-01-13,Peito,Crucifixo,Maquina com anilha,15,6,5
2026-01-13,Costas,Puxada baixa,Maquina,25,1,10
